FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,B08122_001,B08122_002,B08122_003,B08122_004,B08122_005,B08122_006,B08122_007,B08122_008,B08122_009,B08122_010,B08122_011,B08122_012,B08122_013,B08122_014,B08122_015,B08122_016,B08122_017,B08122_018,B08122_019,B08122_020,B08122_021,B08122_022,B08122_023,B08122_024,B08122_025,B08122_026,B08122_027,B08122_028
ACSSF,20160,us,0,32,779,683585,44918,41048,597619,563748,29526,29602,504620,61497,7523,6285,47689,10145,3047,1345,5753,12738,2174,1522,9042,7969,741,735,6493,27488,1907,1559,24022
ACSSF,20160,us,0,32,780,185315,9122,9099,167094,153614,6424,7704,139486,15096,1081,683,13332,1111,345,30,736,3126,353,309,2464,2606,606,165,1835,9762,313,208,9241
ACSSF,20160,us,0,32,781,740186,60524,56908,622754,621652,45956,44476,531220,65347,8761,7867,48719,5225,1090,1258,2877,8595,1806,545,6244,7393,1198,1112,5083,31974,1713,1650,28611
ACSSF,20160,us,0,32,782,640657,42007,49815,548835,540639,32831,37836,469972,59962,6436,7626,45900,3397,707,1165,1525,6260,469,1130,4661,7340,167,865,6308,23059,1397,1193,20469
ACSSF,20160,us,0,32,783,102410,10092,8292,84026,87423,8601,6100,72722,7483,747,1303,5433,498,0,225,273,737,209,54,474,1493,103,11,1379,4776,432,599,3745
ACSSF,20160,us,0,32,784,600535,26659,27305,546571,500149,18897,19414,461838,48079,3706,3841,40532,6912,1022,952,4938,12397,1311,1123,9963,7770,933,753,6084,25228,790,1222,23216
ACSSF,20160,us,0,32,785,117812,10054,8361,99397,93994,6923,5889,81182,11676,1350,1179,9147,1187,422,232,533,4238,752,371,3115,2186,296,656,1234,4531,311,34,4186
ACSSF,20160,us,0,32,786,733227,29714,27627,675886,594285,18418,19585,556282,61514,3209,3624,54681,20742,2667,2054,16021,13959,1986,983,10990,9101,1448,316,7337,33626,1986,1065,30575
ACSSF,20160,us,0,32,787,175096,12958,13509,148629,145899,9252,10073,126574,17365,2383,2343,12639,134,17,109,8,1442,291,63,1088,4020,812,642,2566,6236,203,279,5754
ACSSF,20160,us,0,32,788,56117,3665,4858,47594,47027,2302,3567,41158,4585,270,655,3660,144,0,0,144,1550,346,316,888,539,82,25,432,2272,665,295,1312
ACSSF,20160,us,0,32,789,3221660,234746,232429,2754485,2611132,167692,172301,2271139,324897,36403,36007,252487,61235,8164,5285,47786,43320,8286,5619,29415,49615,7877,6209,35529,131461,6324,7008,118129
ACSSF,20160,us,0,32,790,339745,27053,25047,287645,302511,22080,22407,258024,22028,2228,2007,17793,342,0,0,342,2049,906,396,747,2948,852,155,1941,9867,987,82,8798
ACSSF,20160,us,0,32,791,104703,9112,8400,87191,81985,6337,6389,69259,10342,1354,715,8273,2791,50,36,2705,3111,639,488,1984,1436,225,140,1071,5038,507,632,3899
ACSSF,20160,us,0,32,792,1149625,74504,64484,1010637,971353,56238,50354,864761,88348,8072,8361,71915,8260,1876,1670,4714,18256,4013,1908,12335,12865,2022,1053,9790,50543,2283,1138,47122
ACSSF,20160,us,0,32,793,69181,7407,3742,58032,50616,3781,2501,44334,5750,758,541,4451,3266,630,481,2155,5515,1816,183,3516,1373,422,0,951,2661,0,36,2625
ACSSF,20160,us,0,32,794,59290,3097,5715,50478,52629,2410,5100,45119,2870,232,336,2302,0,0,0,0,294,0,56,238,1436,301,130,1005,2061,154,93,1814
ACSSF,20160,us,0,32,795,288575,21072,20358,247145,245284,16504,15354,213426,32041,3665,3300,25076,531,32,58,441,3054,337,986,1731,2374,471,419,1484,5291,63,241,4987
ACSSF,20160,us,0,32,796,740620,41784,46726,652110,606225,28413,34144,543668,57944,5243,5627,47074,11789,2659,2478,6652,10125,1770,918,7437,14634,1924,1602,11108,39903,1775,1957,36171
ACSSF,20160,us,0,32,797,208418,18909,17682,171827,178365,13354,15036,149975,15128,2337,1421,11370,659,372,136,151,2172,501,149,1522,3995,707,313,2975,8099,1638,627,5834
ACSSF,20160,us,0,32,798,85153,4607,4581,75965,70458,3197,3770,63491,7719,565,542,6612,441,196,0,245,2389,327,86,1976,1216,99,13,1104,2930,223,170,2537
ACSSF,20160,us,0,32,799,72650,5439,7979,59232,59592,3302,6703,49587,8288,1300,668,6320,97,0,0,97,2095,765,215,1115,135,0,0,135,2443,72,393,1978
ACSSF,20160,us,0,32,800,93260,7461,5899,79900,78740,5294,4713,68733,8942,1271,744,6927,202,84,10,108,1127,359,132,636,1540,347,50,1143,2709,106,250,2353
ACSSF,20160,us,0,32,801,246389,24855,18392,203142,202375,17466,14158,170751,23316,3578,2432,17306,2988,724,501,1763,5897,1584,668,3645,2989,867,113,2009,8824,636,520,7668
ACSSF,20160,us,0,32,802,1223483,69984,63468,1090031,1025959,52181,49605,924173,97018,7982,7709,81327,10993,2802,1174,7017,16899,2683,1962,12254,12336,1813,628,9895,60278,2523,2390,55365
ACSSF,20160,us,0,32,803,496892,40133,32612,424147,418526,29069,25094,364363,43004,6861,4938,31205,1418,440,157,821,5457,1132,901,3424,4227,382,357,3488,24260,2249,1165,20846
ACSSF,20160,us,0,32,804,51205,4483,3636,43086,43438,3739,2813,36886,4542,281,573,3688,20,0,0,20,819,232,53,534,859,86,112,661,1527,145,85,1297
ACSSF,20160,us,0,32,805,261066,25046,18222,217798,221745,19079,14136,188530,21849,3040,2145,16664,1524,491,364,669,4188,677,691,2820,4703,609,352,3742,7057,1150,534,5373
ACSSF,20160,us,0,32,806,113757,11975,7266,94516,91289,7358,4641,79290,12050,1355,1494,9201,3258,1494,367,1397,2699,1522,404,773,1948,88,123,1737,2513,158,237,2118
ACSSF,20160,us,0,32,807,99276,9378,7465,82433,86443,6773,5160,74510,7802,1833,1669,4300,410,35,0,375,998,42,172,784,1695,236,464,995,1928,459,0,1469
ACSSF,20160,us,0,32,808,250885,23607,15977,211301,204747,14928,11430,178389,22458,3214,2418,16826,4520,1567,615,2338,5303,1709,578,3016,3564,1045,117,2402,10293,1144,819,8330
ACSSF,20160,us,0,32,809,1075968,69884,78695,927389,854619,46007,55156,753456,109090,8564,9869,90657,37021,8831,7261,20929,13383,1879,2092,9412,19131,2859,1955,14317,42724,1744,2362,38618
ACSSF,20160,us,0,32,810,344392,35798,23637,284957,281784,24020,17381,240383,30545,4940,3139,22466,3794,1001,474,2319,9092,3951,1109,4032,6105,643,859,4603,13072,1243,675,11154
ACSSF,20160,us,0,32,811,103916,5711,5899,92306,91450,4131,4549,82770,5981,493,819,4669,555,208,134,213,2395,438,357,1600,1182,227,19,936,2353,214,21,2118
ACSSF,20160,us,0,32,812,184532,16260,9503,158769,149694,12074,6700,130920,17556,2129,1363,14064,1646,108,88,1450,4590,1094,524,2972,4026,542,509,2975,7020,313,319,6388
ACSSF,20160,us,0,32,813,399398,25734,28496,345168,338445,20817,22731,294897,37864,2182,3266,32416,1814,428,79,1307,4953,942,707,3304,4445,887,741,2817,11877,478,972,10427
ACSSF,20160,us,0,32,814,117204,9323,11555,96326,101155,7265,9373,84517,8803,956,850,6997,101,0,0,101,1534,695,127,712,1668,72,436,1160,3943,335,769,2839
ACSSF,20160,us,0,32,815,8555642,611812,637172,7306658,6510187,388541,429985,5691661,879055,79332,86361,713362,348796,58398,49868,240530,176031,29801,21994,124236,172571,20936,17422,134213,469002,34804,31542,402656
ACSSF,20160,us,0,32,816,721094,43873,42563,634658,598441,32699,29506,536236,61272,4985,7595,48692,10996,2146,1963,6887,10081,1235,1087,7759,9688,1676,1223,6789,30616,1132,1189,28295
ACSSF,20160,us,0,32,817,155813,16918,14909,123986,127193,11232,10322,105639,19172,3734,3081,12357,1180,271,376,533,2490,724,366,1400,2002,724,541,737,3776,233,223,3320
ACSSF,20160,us,0,32,818,174298,16729,13180,144389,144399,11636,9265,123498,20625,3343,2366,14916,631,266,183,182,1800,733,268,799,2038,449,617,972,4805,302,481,4022
ACSSF,20160,us,0,32,819,471910,31333,22661,417916,363360,16354,15181,331825,39824,3141,2359,34324,14053,2721,1505,9827,18713,5603,1546,11564,13240,1995,1183,10062,22720,1519,887,20314
ACSSF,20160,us,0,32,820,62314,7443,4461,50410,49353,5567,3693,40093,5919,615,202,5102,225,0,211,14,2885,935,227,1723,1568,194,0,1374,2364,132,128,2104
ACSSF,20160,us,0,32,821,65605,5492,3436,56677,52395,3942,2127,46326,6380,646,824,4910,665,249,137,279,2281,367,106,1808,711,195,43,473,3173,93,199,2881
ACSSF,20160,us,0,32,822,93310,7490,7078,78742,77836,4573,5921,67342,8585,1994,503,6088,552,0,93,459,2223,613,129,1481,1287,269,276,742,2827,41,156,2630
ACSSF,20160,us,0,32,823,26604,2592,3768,20244,22592,1777,3102,17713,2490,113,416,1961,58,0,0,58,451,118,181,152,614,425,47,142,399,159,22,218
