FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,B08122_001,B08122_002,B08122_003,B08122_004,B08122_005,B08122_006,B08122_007,B08122_008,B08122_009,B08122_010,B08122_011,B08122_012,B08122_013,B08122_014,B08122_015,B08122_016,B08122_017,B08122_018,B08122_019,B08122_020,B08122_021,B08122_022,B08122_023,B08122_024,B08122_025,B08122_026,B08122_027,B08122_028
FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Total:,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined%  Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined%  100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined%  At or above 150 percent of the poverty level,"MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:% Below 100 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:% 100 to 149 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - drove alone:% At or above 150 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:% Below 100 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:% 100 to 149 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Car, truck, or van - carpooled:% At or above 150 percent of the poverty level",MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):% Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):% 100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Public transportation (excluding taxicab):% At or above 150 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:% Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:% 100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Walked:% At or above 150 percent of the poverty level,"MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:% Below 100 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:% 100 to 149 percent of the poverty level","MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Taxicab, motorcycle, bicycle, or other means:% At or above 150 percent of the poverty level",MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:% Below 100 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:% 100 to 149 percent of the poverty level,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS for Workers 16 Years And Over For Whom Poverty Status Is Determined% Worked at home:% At or above 150 percent of the poverty level
ACSSF,20160,us,0,32,1,149185830,9746518,9264922,130174390,114439060,6329496,6469759,101639805,13505607,1259768,1204490,11041349,7607646,780178,613201,6214267,3538349,583190,372881,2582278,2672505,334061,245587,2092857,7422663,459825,359004,6603834
ACSSF,20160,us,0,32,2,122580609,8360422,7792709,106427478,92567733,5313855,5337665,81916213,11200623,1077838,1027804,9094981,7482261,769005,603382,6109874,3073943,530932,326547,2216464,2335334,300396,216498,1818440,5920715,368396,280813,5271506
ACSSF,20160,us,0,32,3,26605221,1386096,1472213,23746912,21871327,1015641,1132094,19723592,2304984,181930,176686,1946368,125385,11173,9819,104393,464406,52258,46334,365814,337171,33665,29089,274417,1501948,91429,78191,1332328
ACSSF,20160,us,0,32,4,368727,40120,35561,293046,282999,26107,24733,232159,36243,4242,4818,27183,5689,1117,909,3663,14149,3635,1704,8810,6477,1538,807,4132,23170,3481,2590,17099
ACSSF,20160,us,0,32,5,1089688,79613,85105,924970,905753,57330,66029,782394,103809,12249,10383,81177,4881,1125,1081,2675,15983,3184,2617,10182,15753,2350,2401,11002,43509,3375,2594,37540
ACSSF,20160,us,0,32,6,108412,6504,4984,96924,63400,2221,1685,59494,13067,747,448,11872,1000,150,100,750,13934,1720,1303,10911,10003,1144,1077,7782,7008,522,371,6115
ACSSF,20160,us,0,32,7,434381,41838,35728,356815,369271,31721,28307,309243,38122,5596,4611,27915,1563,425,185,953,4842,1337,879,2626,7677,1158,681,5838,12906,1601,1065,10240
ACSSF,20160,us,0,32,8,141825776,9166950,8708164,123950662,108566904,5915709,6060916,96590279,12771472,1184619,1127597,10459256,7573307,775519,608313,6189475,3313892,543941,347233,2422718,2546009,317427,231085,1997497,7054192,429735,333020,6291437
ACSSF,20160,us,0,32,9,130045428,8216611,7814668,114014149,98943240,5234333,5379091,88329816,11644543,1054627,1015335,9574581,7507419,762885,600490,6144044,3020118,486697,308547,2224874,2372370,288512,210825,1873033,6557738,389557,300380,5867801
ACSSF,20160,us,0,32,10,49683433,4286630,3735601,41661202,34476313,2500176,2370511,29605626,4629500,525756,480466,3623278,5142808,590230,459490,4093088,1860371,325110,175976,1359285,1240931,166351,117619,956961,2333510,179007,131539,2022964
ACSSF,20160,us,0,32,11,80361995,3929981,4079067,72352947,64466927,2734157,3008580,58724190,7015043,528871,534869,5951303,2364611,172655,141000,2050956,1159747,161587,132571,865589,1131439,122161,93206,916072,4224228,210550,168841,3844837
ACSSF,20160,us,0,32,12,11780348,950339,893496,9936513,9623664,681376,681825,8260463,1126929,129992,112262,884675,65888,12634,7823,45431,293774,57244,38686,197844,173639,28915,20260,124464,496454,40178,32640,423636
ACSSF,20160,us,0,32,13,3942822,446535,359449,3136838,3159132,316322,268910,2573900,418821,61707,47459,309655,29561,5979,4580,19002,137921,35046,21073,81802,77746,17127,9477,51142,119641,10354,7950,101337
ACSSF,20160,us,0,32,14,7837526,503804,534047,6799675,6464532,365054,412915,5686563,708108,68285,64803,575020,36327,6655,3243,26429,155853,22198,17613,116042,95893,11788,10783,73322,376813,29824,24690,322299
ACSSF,20160,us,0,32,15,7360054,579568,556758,6223728,5872156,413787,408843,5049526,734135,75149,76893,582093,34339,4659,4888,24792,224457,39249,25648,159560,126496,16634,14502,95360,368471,30090,25984,312397
ACSSF,20160,us,0,32,16,19140402,1529907,1450254,16160241,15495820,1095163,1090668,13309989,1861064,205141,189155,1466768,100227,17293,12711,70223,518231,96493,64334,357404,300135,45549,34762,219824,864925,70268,58624,736033
ACSSF,20160,us,0,32,17,26819339,1389774,1269491,24160074,18019269,653405,677454,16688410,2059171,150949,141030,1767192,3937530,314431,267385,3355714,1090956,153305,98055,839596,467781,46647,36640,384494,1244632,71037,48927,1124668
ACSSF,20160,us,0,32,18,32355686,2082794,1860707,28412185,26060460,1396834,1355491,23308135,2686643,260692,235225,2190726,974458,131945,89781,752732,709929,144146,74544,491239,460754,63544,38968,358242,1463442,85633,66698,1311111
ACSSF,20160,us,0,32,19,54883312,3916689,3836073,47130550,44191958,2781147,2860742,38550069,5164410,542005,523882,4098523,1192341,161122,121225,909994,824975,145235,105151,574589,893053,121764,96865,674424,2616575,165416,128208,2322951
ACSSF,20160,us,0,32,20,35127493,2357261,2298651,30471581,26167373,1498110,1576072,23093191,3595383,306122,304353,2984908,1503317,172680,134810,1195827,912489,140504,95131,676854,850917,102106,73114,675697,2098014,137739,115171,1845104
ACSSF,20160,us,0,32,21,22895603,1248290,1117554,20529759,14799041,552843,564286,13681912,1747657,134695,123553,1489409,3901575,313363,265945,3322267,1014335,145838,90944,777553,424923,43445,33813,347665,1008072,58106,39013,910953
ACSSF,20160,us,0,32,22,24662895,1744719,1492962,21425214,19696844,1152907,1074636,17469301,2056198,216497,191550,1648151,951090,129111,87662,734317,559275,129176,62307,367792,375846,56097,31872,287877,1023642,60931,44935,917776
ACSSF,20160,us,0,32,23,43012947,3190526,3070631,36751790,34256175,2226738,2253030,29776407,4094143,443699,428772,3221672,1152480,157105,116551,878824,697391,129877,89939,477575,742153,103832,82657,555664,2070605,129275,99682,1841648
ACSSF,20160,us,0,32,24,32009164,2176887,2111562,27720715,23815673,1381367,1445713,20988593,3302625,282947,283929,2735749,1477116,169426,133224,1174466,802942,126041,83357,593544,792412,97022,68156,627234,1818396,120084,97183,1601129
ACSSF,20160,us,0,32,25,3923736,141484,151937,3630315,3220228,100562,113168,3006498,311514,16254,17477,277783,35955,1068,1440,33447,76621,7467,7111,62043,42858,3202,2827,36829,236560,12931,9914,213715
ACSSF,20160,us,0,32,26,7692791,338075,367745,6986971,6363616,243927,280855,5838834,630445,44195,43675,542575,23368,2834,2119,18415,150654,14970,12237,123447,84908,7447,7096,70365,439800,24702,21763,393335
ACSSF,20160,us,0,32,27,11870365,726163,765442,10378760,9935783,554409,607712,8773662,1070267,98306,95110,876851,39861,4017,4674,31170,127584,15358,15212,97014,150900,17932,14208,118760,545970,36141,28526,481303
ACSSF,20160,us,0,32,28,3118329,180374,187089,2750866,2351700,116743,130359,2104598,292758,23175,20424,249159,26201,3254,1586,21361,109547,14463,11774,83310,58505,5084,4958,48463,279618,17655,17988,243975
ACSSF,20160,us,0,32,29,26207356,1350020,1232654,23624682,17529381,625299,650813,16253269,2005955,146573,136341,1723041,3933118,314197,266864,3352057,1068802,149288,96082,823432,460095,46012,35684,378399,1210005,68651,46870,1094484
ACSSF,20160,us,0,32,30,29664039,1904852,1679734,26079453,23922974,1274486,1222198,21426290,2425945,237202,212176,1976567,964722,129914,88569,746239,624270,131208,64460,428602,418113,57963,35237,324913,1308015,74079,57094,1176842
ACSSF,20160,us,0,32,31,51639000,3619377,3558947,44460676,41523056,2557742,2649821,36315493,4828020,503281,483206,3841533,1181721,159792,119821,902108,767478,132297,97527,537654,839263,112996,89088,637179,2499462,153269,119484,2226709
ACSSF,20160,us,0,32,32,34315381,2292701,2236829,29785851,25591493,1458182,1538084,22595227,3511552,297563,295874,2918115,1493746,171616,133059,1189071,853342,131148,89164,633030,828538,100456,71076,657006,2036710,133736,109572,1793402
ACSSF,20160,us,0,32,33,24783812,1267836,1150704,22365272,16382309,571834,593133,15217342,1878220,136983,124894,1616343,3925017,313156,266393,3345468,1018740,140238,90408,788094,436996,42148,33175,361673,1142530,63477,42701,1036352
ACSSF,20160,us,0,32,34,25560236,1616409,1401413,22542414,20539942,1070271,1008974,18460697,2052673,199416,177587,1675670,946826,125937,85659,735230,524169,109957,52850,361362,357357,48189,28540,280628,1139269,62639,47803,1028827
ACSSF,20160,us,0,32,35,47344537,3211207,3182772,40950558,37925822,2250893,2350520,33324409,4399855,441772,436577,3521506,1168691,156745,117974,893972,698504,117394,86345,494765,782640,102894,81677,598069,2369025,141509,109679,2117837
ACSSF,20160,us,0,32,36,32356843,2121159,2079779,28155905,24095167,1341335,1426464,21327368,3313795,276456,276277,2761062,1466885,167047,130464,1169374,778705,119108,78944,580653,795377,95281,67433,632663,1906914,121932,100197,1684785
ACSSF,20160,us,0,32,37,7681907,639312,540959,6501636,3131828,188332,181556,2761940,546956,54636,49385,442935,2832121,253382,219141,2359598,650113,91920,55188,503005,214607,22702,17986,173919,306282,28340,17703,260239
ACSSF,20160,us,0,32,38,9037417,885792,672291,7479334,6715054,540324,455140,5719590,797526,103375,81725,612426,664628,102925,67542,494161,308269,78573,28796,200900,196241,30827,18276,147138,355699,29768,20812,305119
ACSSF,20160,us,0,32,39,17451242,1559914,1428303,14463025,13536284,1047818,1022047,11466419,1692777,213706,202099,1276972,668350,109003,76292,483055,403932,77192,46251,280489,352921,53868,39455,259598,796978,58327,42159,696492
ACSSF,20160,us,0,32,40,15512867,1201612,1094048,13217207,11093147,723702,711768,9657677,1592241,154039,147257,1290945,977709,124920,96515,756274,498057,77425,45741,374891,477162,58954,41902,376306,874551,62572,50865,761114
ACSSF,20160,us,0,32,41,17101905,628524,609745,15863636,13250481,383502,411577,12455402,1331264,82347,75509,1173408,1092896,59774,47252,985870,368627,48318,35220,285089,222389,19446,15189,187754,836248,35137,24998,776113
ACSSF,20160,us,0,32,42,16522819,730617,729122,15063080,13824888,529947,553834,12741107,1255147,96041,95862,1063244,282198,23012,18117,241069,215900,31384,24054,160462,161116,17362,10264,133490,783570,32871,26991,723708
ACSSF,20160,us,0,32,43,29893295,1651293,1754469,26487533,24389538,1203075,1328473,21857990,2707078,228066,234478,2244534,500341,47742,41682,410917,294572,40202,40094,214276,429719,49026,42222,338471,1572047,83182,67520,1421345
ACSSF,20160,us,0,32,44,16843976,919547,985731,14938698,13002020,617633,714696,11669691,1721554,122417,129020,1470117,489176,42127,33949,413100,280648,41683,33203,205762,318215,36327,25531,256357,1032363,59360,49332,923671
ACSSF,20160,us,0,32,45,1423544,82184,81950,1259410,1147072,53465,57680,1035927,127735,9590,11447,106698,8101,1041,471,6589,50062,9050,5674,35338,23099,3864,2509,16726,67475,5174,4169,58132
ACSSF,20160,us,0,32,46,4103803,288443,278321,3537039,3383032,204215,213224,2965593,373272,37786,34589,300897,17896,3977,2910,11009,100101,21251,11610,67240,60756,9774,6697,44285,168746,11440,9291,148015
ACSSF,20160,us,0,32,47,4294463,408170,376175,3510118,3597234,306849,299301,2991084,428165,61509,46629,320027,13030,3047,1847,8136,68974,14903,11182,42889,56623,10102,7411,39110,130437,11760,9805,108872
ACSSF,20160,us,0,32,48,1958538,171542,157050,1629946,1496326,116847,111620,1267859,197757,21107,19597,157053,26861,4569,2595,19697,74637,12040,10220,52377,33161,5175,3643,24343,129796,11804,9375,108617
ACSSF,20160,us,0,32,49,283974,26952,21540,235482,218844,16433,13588,188823,27738,2479,3317,21942,2399,299,246,1854,18542,4659,2603,11280,6950,2217,711,4022,9501,865,1075,7561
ACSSF,20160,us,0,32,50,1491484,148534,128870,1214080,1205472,102315,98413,1004744,156289,19949,16668,119672,9247,2310,1799,5138,47805,14290,6483,27032,30811,6563,3385,20863,41860,3107,2122,36631
ACSSF,20160,us,0,32,51,1424802,188118,144806,1091878,1166443,139752,111225,915466,160185,29677,18663,111845,5708,1157,1159,3392,32152,8530,6867,16755,24902,5361,3754,15787,35412,3641,3138,28633
ACSSF,20160,us,0,32,52,742562,82931,64233,595398,568373,57822,45684,464867,74609,9602,8811,56196,12207,2213,1376,8618,39422,7567,5120,26735,15083,2986,1627,10470,32868,2741,1615,28512
ACSSF,20160,us,0,32,53,1139570,55232,60410,1023928,928228,37032,44092,847104,99997,7111,8130,84756,5702,742,225,4735,31520,4391,3071,24058,16149,1647,1798,12704,57974,4309,3094,50571
ACSSF,20160,us,0,32,54,2612319,139909,149451,2322959,2177560,101900,114811,1960849,216983,17837,17921,181225,8649,1667,1111,5871,52296,6961,5127,40208,29945,3211,3312,23422,126886,8333,7169,111384
ACSSF,20160,us,0,32,55,2869661,220052,231369,2418240,2430791,167097,188076,2075618,267980,31832,27966,208182,7322,1890,688,4744,36822,6373,4315,26134,31721,4741,3657,23323,95025,8119,6667,80239
ACSSF,20160,us,0,32,56,1215976,88611,92817,1034548,927953,59025,65936,802992,123148,11505,10786,100857,14654,2356,1219,11079,35215,4473,5100,25642,18078,2189,2016,13873,96928,9063,7760,80105
ACSSF,20160,us,0,32,57,611983,39754,36837,535392,489888,28106,26641,435141,53216,4376,4689,44151,4412,234,521,3657,22154,4017,1973,16164,7686,635,956,6095,34627,2386,2057,30184
ACSSF,20160,us,0,32,58,2691647,177942,180973,2332732,2137486,122348,133293,1881845,260698,23490,23049,214159,9736,2031,1212,6493,85659,12938,10084,62637,42641,5581,3731,33329,155427,11554,9604,134269
ACSSF,20160,us,0,32,59,3244312,297312,277126,2669874,2668902,223405,210921,2234576,336390,38724,40676,256990,10620,1330,1404,7886,57497,12938,7624,36935,53790,8768,7777,37245,117113,12147,8724,96242
ACSSF,20160,us,0,32,60,812112,64560,61822,685730,575880,39928,37988,497964,83831,8559,8479,66793,9571,1064,1751,6756,59147,9356,5967,43824,22379,1650,2038,18691,61304,4003,5599,51702
ACSSF,20160,us,0,32,61,2035527,121938,118787,1794802,1636960,81571,84321,1471068,180951,13966,16136,150849,12513,1275,992,10246,72216,13067,7647,51502,30785,4499,3465,22821,102102,7560,6226,88316
ACSSF,20160,us,0,32,62,6795450,466385,459294,5869771,5520518,326563,346517,4847438,633970,61276,57638,515056,27632,6008,4122,17502,185760,34189,21694,129877,103397,15355,10428,77614,324173,22994,18895,282284
ACSSF,20160,us,0,32,63,7538775,705482,653301,6179992,6266136,530254,510222,5225660,764555,100233,87305,577017,23650,4377,3251,16022,126471,27841,18806,79824,110413,18870,15188,76355,247550,23907,18529,205114
ACSSF,20160,us,0,32,64,2770650,236102,218872,2315676,2072206,156775,149608,1765823,281588,29666,28076,223846,36432,5633,4346,26453,133784,21396,16187,96201,55540,6825,5681,43034,191100,15807,14974,160319
ACSSF,20160,us,0,32,65,7351530,315790,282089,6753651,5544326,179983,179867,5184476,595007,39750,34880,520377,464688,35841,29633,399214,241565,29760,17126,194679,125417,12586,7864,104967,380527,17870,12719,349938
ACSSF,20160,us,0,32,66,19467809,1073984,987402,17406423,12474943,473422,497587,11503934,1464164,111199,106150,1246815,3472842,278590,237752,2956500,849391,123545,80929,644917,342364,34061,28776,279527,864105,53167,36208,774730
ACSSF,20160,us,0,32,67,21916754,1448923,1274355,19193476,17598673,966724,922042,15709907,1774640,178144,162031,1434465,797883,103003,71087,623793,477440,98265,50468,328707,317672,44118,25956,247598,950446,58669,42771,849006
ACSSF,20160,us,0,32,68,10438932,633871,586352,9218709,8461787,430110,433449,7598228,912003,82548,73194,756261,176575,28942,18694,128939,232489,45881,24076,162532,143082,19426,13012,110644,512996,26964,23927,462105
ACSSF,20160,us,0,32,69,29109078,1884441,1917711,25306926,22963741,1291201,1383628,20288912,2689244,266915,266792,2155537,920304,107437,84934,727933,482237,71750,56406,354081,516541,63603,52558,400380,1537011,83535,73393,1380083
ACSSF,20160,us,0,32,70,8111389,641742,582390,6887257,6841776,487107,466268,5888401,715323,81472,70375,563476,51096,10074,6638,34384,96370,23226,13310,59834,105687,15905,11606,78176,301137,23958,14193,262986
ACSSF,20160,us,0,32,71,17662845,1390506,1335972,14936367,14386441,1002839,1010846,12372756,1759843,193618,186715,1379510,220941,43611,29653,147677,246368,50259,35435,160674,270825,42256,32701,195868,778427,57923,40622,679882
ACSSF,20160,us,0,32,72,10938309,800107,745348,9392854,8427614,534497,539279,7353838,1095441,102437,91342,901662,244760,42044,30354,172362,255042,49079,29233,176730,226690,29185,21133,176372,688762,42865,34007,611890
ACSSF,20160,us,0,32,73,24189184,1557154,1553303,21078727,17739759,963613,1036793,15739353,2499942,203685,213011,2083246,1258557,130636,104456,1023465,657447,91425,65898,500124,624227,72921,51981,499325,1409252,94874,81164,1233214
ACSSF,20160,us,0,32,74,5951248,270636,236507,5444105,4404575,147337,147112,4110126,489945,35400,29775,424770,452136,35361,29404,387371,213841,27041,14543,172257,109983,11698,7096,91189,280768,13799,8577,258392
ACSSF,20160,us,0,32,75,16944355,977654,881047,15085654,10394466,405506,417174,9571786,1257712,99295,93778,1064639,3449439,278002,236541,2934896,800494,118797,76401,605296,314940,31747,26717,256476,727304,44307,30436,652561
ACSSF,20160,us,0,32,76,17224989,1244671,1055927,14924391,13670200,816485,752878,12100837,1402328,151420,136063,1114845,783902,101391,69980,612531,397995,90679,44321,262995,263809,40116,21252,202441,706755,44580,31433,630742
ACSSF,20160,us,0,32,77,7437906,500048,437035,6500823,6026644,336422,321758,5368464,653870,65077,55487,533306,167188,27720,17682,121786,161280,38497,17986,104797,112037,15981,10620,85436,316887,16351,13502,287034
ACSSF,20160,us,0,32,78,23588737,1564982,1576730,20447025,18371053,1052526,1120804,16197723,2184637,218684,218948,1747005,895131,104954,81754,708423,421606,66536,49723,305347,448196,56206,45924,346066,1268114,66076,59577,1142461
ACSSF,20160,us,0,32,79,5113537,435730,373403,4304404,4291366,326030,292237,3673099,453122,56842,49197,347083,44328,9213,5969,29146,69933,18308,9964,41661,66218,10618,8151,47449,188570,14719,7885,165966
ACSSF,20160,us,0,32,80,14310673,1189814,1120498,12000361,11593756,848182,839989,9905585,1456384,168173,160627,1127584,213021,42938,28828,141255,205852,45033,30252,130567,227739,37008,28582,162149,613921,48480,32220,533221
ACSSF,20160,us,0,32,81,9490469,706224,655380,8128865,7343737,472372,475652,6395713,948659,90517,81734,776408,233430,40572,29110,163748,207118,41014,24157,141947,202596,27085,18941,156570,554929,34664,25786,494479
ACSSF,20160,us,0,32,82,22518695,1470663,1456182,19591850,16471936,908995,970061,14592880,2353966,192430,202195,1959341,1243686,128854,104114,1010718,595824,85027,59200,451597,589816,69937,49215,470664,1263467,85420,71397,1106650
ACSSF,20160,us,0,32,83,1400282,45154,45582,1309546,1139751,32646,32755,1074350,105062,4350,5105,95607,12552,480,229,11843,27724,2719,2583,22422,15434,888,768,13778,99759,4071,4142,91546
ACSSF,20160,us,0,32,84,2523454,96330,106355,2320769,2080477,67916,80413,1932148,206452,11904,12372,182176,23403,588,1211,21604,48897,4748,4528,39621,27424,2314,2059,23051,136801,8860,5772,122169
ACSSF,20160,us,0,32,85,4691765,204252,218428,4269085,3928473,150239,169164,3609070,372312,26724,25968,319620,13981,1612,1107,11262,79445,7586,6147,65712,53863,4002,4704,45157,243691,14089,11338,218264
ACSSF,20160,us,0,32,86,3001026,133823,149317,2717886,2435143,93688,111691,2229764,258133,17471,17707,222955,9387,1222,1012,7153,71209,7384,6090,57735,31045,3445,2392,25208,196109,10613,10425,175071
ACSSF,20160,us,0,32,87,5520341,319459,340981,4859901,4592688,238675,262824,4091189,504607,48231,47844,408532,25173,2483,3180,19510,60631,5214,6683,48734,68345,7397,6634,54314,268897,17459,13816,237622
ACSSF,20160,us,0,32,88,2997852,206012,208987,2582853,2550410,161077,174031,2215302,262201,24630,21178,216393,6768,861,669,5238,26437,4918,3346,18173,39469,5287,3455,30727,112567,9239,6308,97020
ACSSF,20160,us,0,32,89,3352172,200692,215474,2936006,2792685,154657,170857,2467171,303459,25445,26088,251926,7920,673,825,6422,40516,5226,5183,30107,43086,5248,4119,33719,164506,9443,8402,146661
ACSSF,20160,us,0,32,90,1447840,93883,89968,1263989,1083877,62125,63627,958125,146782,11920,9608,125254,11330,1472,1244,8614,47924,8065,5076,34783,24094,2100,2192,19802,133833,8201,8221,117411
ACSSF,20160,us,0,32,91,1670489,86491,97121,1486877,1267823,54618,66732,1146473,145976,11255,10816,123905,14871,1782,342,12747,61623,6398,6698,48527,34411,2984,2766,28661,145785,9454,9767,126564
ACSSF,20160,us,0,32,92,7057984,296961,265359,6495664,5314777,166196,168411,4980170,567954,38069,32535,497350,463131,35770,29579,397782,230775,27987,16060,186728,121223,12189,7294,101740,360124,16750,11480,331894
ACSSF,20160,us,0,32,93,19149372,1053059,967295,17129018,12214604,459103,482402,11273099,1438001,108504,103806,1225691,3469987,278427,237285,2954275,838027,121301,80022,636704,338872,33823,28390,276659,849881,51901,35390,762590
ACSSF,20160,us,0,32,94,20675645,1364198,1190942,18120505,16603606,907331,860653,14835622,1649410,166171,150832,1332407,792861,101853,70466,620542,444608,94045,46361,304202,297235,41742,23945,231548,887925,53056,38685,796184
ACSSF,20160,us,0,32,95,8988394,540654,488792,7958948,7319368,367155,361545,6590668,776535,71031,61344,644160,171861,28061,18103,125697,179662,37163,18099,124400,120878,16221,11292,93365,420090,21023,18409,380658
ACSSF,20160,us,0,32,96,27861069,1771702,1816589,24272778,21950383,1208758,1312518,19429107,2555200,250125,247584,2057491,914941,106875,84048,724018,457456,67234,53079,337143,494724,60626,48954,385144,1488365,78084,70406,1339875
ACSSF,20160,us,0,32,97,7170518,554193,500234,6116091,6049187,419137,398153,5231897,622936,71453,61868,489615,47589,9501,6339,31749,84760,19394,12218,53148,91661,13724,9894,68043,274385,20984,11762,241639
ACSSF,20160,us,0,32,98,16607413,1293482,1242124,14071807,13523486,929847,939150,11654489,1649884,181703,173754,1294427,219191,43416,29434,146341,225262,45669,32230,147363,252878,38646,30240,183992,736712,54201,37316,645195
ACSSF,20160,us,0,32,99,10411727,754327,702864,8954536,8041737,504600,511435,7025702,1041279,96271,85815,859193,240391,41365,29365,169661,223210,43022,25795,154393,217162,28869,20167,168126,647948,40200,30287,577461
ACSSF,20160,us,0,32,100,23903654,1538374,1533965,20831315,17549756,953582,1026649,15569525,2470273,201292,210059,2058922,1253355,130251,103694,1019410,630132,88126,63369,478637,611376,71587,50909,488880,1388762,93536,79285,1215941
ACSSF,20160,us,0,32,101,6524281,274228,241094,6008959,4889226,151230,152026,4585970,522533,35796,29047,457690,459017,35363,29579,394075,214334,25690,14941,173703,111252,11110,6198,93944,327919,15039,9303,303577
ACSSF,20160,us,0,32,102,18259531,993608,909610,16356313,11493083,420604,441107,10631372,1355687,101187,95847,1158653,3466000,277793,236814,2951393,804406,114548,75467,614391,325744,31038,26977,267729,814611,48438,33398,732775
