FILEID,FILETYPE,STUSAB,CHARITER,SEQUENCE,LOGRECNO,B08121_001,B08121_002,B08121_003,B08121_004,B08121_005,B08121_006,B08121_007,B08122_001,B08122_002,B08122_003,B08122_004,B08122_005,B08122_006,B08122_007,B08122_008,B08122_009,B08122_010,B08122_011,B08122_012,B08122_013,B08122_014,B08122_015,B08122_016,B08122_017,B08122_018,B08122_019,B08122_020,B08122_021,B08122_022,B08122_023,B08122_024,B08122_025,B08122_026,B08122_027,B08122_028,B08124_001,B08124_002,B08124_003,B08124_004,B08124_005,B08124_006,B08124_007,B08124_008,B08124_009,B08124_010,B08124_011,B08124_012,B08124_013,B08124_014,B08124_015,B08124_016,B08124_017,B08124_018,B08124_019,B08124_020,B08124_021,B08124_022,B08124_023,B08124_024,B08124_025,B08124_026,B08124_027,B08124_028,B08124_029,B08124_030,B08124_031,B08124_032,B08124_033,B08124_034,B08124_035,B08124_036,B08124_037,B08124_038,B08124_039,B08124_040,B08124_041,B08124_042,B08124_043,B08124_044,B08124_045,B08124_046,B08124_047,B08124_048,B08124_049,C08119_001,C08119_002,C08119_003,C08119_004,C08119_005,C08119_006,C08119_007,C08119_008,C08119_009,C08119_010,C08119_011,C08119_012,C08119_013,C08119_014,C08119_015,C08119_016,C08119_017,C08119_018,C08119_019,C08119_020,C08119_021,C08119_022,C08119_023,C08119_024,C08119_025,C08119_026,C08119_027,C08119_028,C08119_029,C08119_030,C08119_031,C08119_032,C08119_033,C08119_034,C08119_035,C08119_036,C08119_037,C08119_038,C08119_039,C08119_040,C08119_041,C08119_042,C08119_043,C08119_044,C08119_045,C08119_046,C08119_047,C08119_048,C08119_049,C08119_050,C08119_051,C08119_052,C08119_053,C08119_054,C08122_001,C08122_002,C08122_003,C08122_004,C08122_005,C08122_006,C08122_007,C08122_008,C08122_009,C08122_010,C08122_011,C08122_012,C08122_013,C08122_014,C08122_015,C08122_016,C08122_017,C08122_018,C08122_019,C08122_020,C08122_021,C08122_022,C08122_023,C08122_024,C08124_001,C08124_002,C08124_003,C08124_004,C08124_005,C08124_006,C08124_007,C08124_008,C08124_009,C08124_010,C08124_011,C08124_012,C08124_013,C08124_014,C08124_015,C08124_016,C08124_017,C08124_018,C08124_019,C08124_020,C08124_021,C08124_022,C08124_023,C08124_024,C08124_025,C08124_026,C08124_027,C08124_028,C08124_029,C08124_030,C08124_031,C08124_032,C08124_033,C08124_034,C08124_035,C08124_036,C08124_037,C08124_038,C08124_039,C08124_040,C08124_041,C08124_042
ACSSF,20160,us,0,32,282,32102,33420,33132,14075,8302,23640,27609,89866,10706,7499,71661,72044,7147,6014,58883,9312,963,778,7571,351,98,0,253,3036,1756,311,969,1525,303,191,1031,3598,439,205,2954,91173,40987,15227,20566,7370,6948,75,72792,32154,11462,17400,5857,5844,75,9312,4082,1871,1688,1026,645,0,351,281,47,23,0,0,0,3281,1468,940,610,257,6,0,1525,998,267,115,54,91,0,3912,2004,640,730,176,362,0,91173,14995,6971,12795,13939,15348,12102,2881,12142,72792,9854,4684,11064,11853,13644,9625,2494,9574,9312,1647,919,864,1569,891,1898,170,1354,351,3,218,70,0,0,20,0,40,4806,2298,695,490,189,458,184,114,378,3912,1193,455,307,328,355,375,103,796,89866,10706,7499,71661,72044,7147,6014,58883,9312,963,778,7571,351,98,0,253,4561,2059,502,2000,3598,439,205,2954,91173,40987,15227,20566,7370,6948,75,72792,32154,11462,17400,5857,5844,75,9312,4082,1871,1688,1026,645,0,351,281,47,23,0,0,0,4806,2466,1207,725,311,97,0,3912,2004,640,730,176,362,0
ACSSF,20160,us,0,32,283,32806,35929,25648,19247,12131,21208,39164,369686,27946,23127,318613,308395,20724,16616,271055,34062,3630,3786,26646,2167,403,637,1127,3610,583,415,2612,9370,1273,1165,6932,12082,1333,508,10241,384224,144176,56375,97367,31040,47244,8022,309032,124226,42533,78827,23814,37150,2482,34178,9340,7157,8368,4048,5094,171,2263,412,455,266,428,702,0,16756,2234,2212,4212,1039,1690,5369,9499,1507,2179,2368,1280,2165,0,12496,6457,1839,3326,431,443,0,384224,55206,29349,55498,58544,72114,47007,14320,52186,309032,35640,21560,42607,48353,61771,41404,12784,44913,34178,6281,4114,5997,5184,5581,3404,1061,2556,2263,466,362,737,210,290,0,40,158,26255,10078,2529,5153,3552,2020,1003,151,1769,12496,2741,784,1004,1245,2452,1196,284,2790,369686,27946,23127,318613,308395,20724,16616,271055,34062,3630,3786,26646,2167,403,637,1127,12980,1856,1580,9544,12082,1333,508,10241,384224,144176,56375,97367,31040,47244,8022,309032,124226,42533,78827,23814,37150,2482,34178,9340,7157,8368,4048,5094,171,2263,412,455,266,428,702,0,26255,3741,4391,6580,2319,3855,5369,12496,6457,1839,3326,431,443,0
ACSSF,20160,us,0,32,284,27490,31709,22026,18320,12063,29160,16130,126570,11016,12379,103175,104759,8452,8661,87646,12762,1055,2665,9042,1239,555,0,684,1287,347,199,741,2629,523,302,1804,3894,84,552,3258,134898,40747,23790,32353,9905,18794,9309,104896,35714,18912,27236,6088,12793,4153,12762,2872,2549,2052,1984,3135,170,1239,102,142,34,271,690,0,1442,175,558,373,9,327,0,2629,282,505,307,422,1113,0,11930,1602,1124,2351,1131,736,4986,134837,22972,13341,24381,18332,18901,13175,6832,16903,104896,13840,9940,17409,14581,16896,11710,5896,14624,12762,3655,1227,2600,1273,1302,858,705,1142,1239,457,132,239,390,21,0,0,0,4071,852,731,603,746,324,437,192,186,11869,4168,1311,3530,1342,358,170,39,951,126570,11016,12379,103175,104759,8452,8661,87646,12762,1055,2665,9042,1239,555,0,684,3916,870,501,2545,3894,84,552,3258,134898,40747,23790,32353,9905,18794,9309,104896,35714,18912,27236,6088,12793,4153,12762,2872,2549,2052,1984,3135,170,1239,102,142,34,271,690,0,4071,457,1063,680,431,1440,0,11930,1602,1124,2351,1131,736,4986
ACSSF,20160,us,0,32,285,34836,36139,25256,.,36944,2499,60070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,20160,us,0,32,286,36980,40054,24893,18508,8160,20697,42790,1005148,63878,56182,885088,835410,41371,42054,751985,75588,10524,6529,58535,14907,2320,2723,9864,16358,4486,1521,10351,15032,2534,1612,10886,47853,2643,1743,43467,1013963,419180,164874,245834,59412,124558,105,836150,357407,125518,204578,47307,101235,105,75690,21678,17053,17543,7326,12090,0,15937,4699,4877,3311,146,2904,0,22775,6157,7769,5503,1203,2143,0,15305,4218,2934,2989,1270,3894,0,48106,25021,6723,11910,2160,2292,0,1013918,124279,64194,136293,145993,170758,125289,63121,183991,836150,80227,50706,106959,123808,149764,111929,55124,157633,75690,16566,6234,15145,10921,10146,6136,2996,7546,15937,4416,1940,3417,2056,1539,816,536,1217,38080,16311,3152,5250,3796,3060,1361,1165,3985,48061,6759,2162,5522,5412,6249,5047,3300,13610,1005148,63878,56182,885088,835410,41371,42054,751985,75588,10524,6529,58535,14907,2320,2723,9864,31390,7020,3133,21237,47853,2643,1743,43467,1013963,419180,164874,245834,59412,124558,105,836150,357407,125518,204578,47307,101235,105,75690,21678,17053,17543,7326,12090,0,15937,4699,4877,3311,146,2904,0,38080,10375,10703,8492,2473,6037,0,48106,25021,6723,11910,2160,2292,0
ACSSF,20160,us,0,32,287,40470,41103,36773,53358,36341,20200,40383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75578,30703,12495,17942,7059,7330,49,61027,25625,9848,14505,5033,5967,49,6005,1625,1238,1275,1337,530,0,347,155,63,83,0,46,0,2014,758,473,552,40,191,0,1652,37,158,734,245,478,0,4533,2503,715,793,404,118,0,75578,9744,3540,8752,9832,14031,10224,6152,13303,61027,6169,3135,6755,9009,11704,8293,4771,11191,6005,919,229,889,679,1338,714,543,694,347,24,0,39,0,82,131,0,71,3666,1497,0,344,12,347,622,427,417,4533,1135,176,725,132,560,464,411,930,74403,2858,2317,69228,60750,2013,1650,57087,6005,150,295,5560,347,0,0,347,3217,421,179,2617,4084,274,193,3617,75578,30703,12495,17942,7059,7330,49,61027,25625,9848,14505,5033,5967,49,6005,1625,1238,1275,1337,530,0,347,155,63,83,0,46,0,3666,795,631,1286,285,669,0,4533,2503,715,793,404,118,0
ACSSF,20160,us,0,32,288,28086,28814,24903,.,18882,6316,43214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47441,7160,5351,34930,43223,6544,4339,32340,1997,281,193,1523,8,8,0,0,1053,220,487,346,1160,107,332,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,20160,us,0,32,289,29445,30209,35494,.,7129,38834,8045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,20160,us,0,32,290,30669,33160,28793,25431,15716,22965,23099,43173,2432,4011,36730,33937,1841,2515,29581,4617,125,673,3819,188,11,19,158,2580,387,260,1933,680,0,255,425,1171,68,289,814,43189,14836,9169,8333,4360,6491,0,33937,12101,6625,6521,3171,5519,0,4617,1503,890,654,932,638,0,204,5,55,128,16,0,0,2580,670,1215,462,141,92,0,680,127,194,149,60,150,0,1171,430,190,419,40,92,0,43189,6987,3510,7289,6337,6244,5164,2225,5433,33937,5192,2450,5032,4800,5284,4644,1804,4731,4617,422,487,1089,840,669,379,272,459,204,48,0,39,87,30,0,0,0,3260,880,472,999,427,224,79,91,88,1171,445,101,130,183,37,62,58,155,43173,2432,4011,36730,33937,1841,2515,29581,4617,125,673,3819,188,11,19,158,3260,387,515,2358,1171,68,289,814,43189,14836,9169,8333,4360,6491,0,33937,12101,6625,6521,3171,5519,0,4617,1503,890,654,932,638,0,204,5,55,128,16,0,0,3260,797,1409,611,201,242,0,1171,430,190,419,40,92,0
ACSSF,20160,us,0,32,291,32226,35155,25805,16082,16049,21494,21016,203661,14354,15741,173566,170238,10006,11642,148590,18236,1952,1213,15071,2988,553,785,1650,4009,476,1353,2180,2341,182,605,1554,5849,1185,143,4521,204624,61738,42717,50825,26917,21598,829,170542,52788,32115,43539,22365,19117,618,18236,4975,4347,3819,3244,1717,134,2988,115,911,1305,464,193,0,4540,952,2191,894,426,77,0,2341,402,1037,301,265,336,0,5977,2506,2116,967,153,158,77,204480,22526,17544,37197,29575,32408,26773,8365,30092,170461,15347,13719,29114,26484,29058,22971,7276,26492,18236,3549,1093,4266,2150,2298,1739,970,2171,2988,580,711,1134,458,42,63,0,0,6818,1472,1242,1845,377,304,938,52,588,5977,1578,779,838,106,706,1062,67,841,203661,14354,15741,173566,170238,10006,11642,148590,18236,1952,1213,15071,2988,553,785,1650,6350,658,1958,3734,5849,1185,143,4521,204624,61738,42717,50825,26917,21598,829,170542,52788,32115,43539,22365,19117,618,18236,4975,4347,3819,3244,1717,134,2988,115,911,1305,464,193,0,6881,1354,3228,1195,691,413,0,5977,2506,2116,967,153,158,77
